fiscal_year,agency_name,vendor_name,vendor_clean,vendor_zip,amount,fiscal_period,date,category
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,1ST BAPTIST CHURCH OF HIGHLAND PARK,1ST BAPTIST CHURCH OF HIGHLAND PARK,20785,41286.62,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2025,MARYLAND OFFICE OF PLANNING,ADAMS UNITED METHODIST CHURCH,ADAMS UNITED METHODIST CHURCH,20711,64864.94,1,2025 Jan 01 12:00:00 AM,624
2020,DEPARTMENT OF COMMERCE,ADVENTIST COMM SRVS OF GREATER WASHINGTON,ADVENTIST COMM SRVS OF GREATER WASHINGTON,20910,25000,1,2020 Jan 01 12:00:00 AM,T00
2020,MD DEPARTMENT OF HUMAN SERVICES,ADVENTIST COMM SRVS OF GREATER WASHINGTON,ADVENTIST COMM SRVS OF GREATER WASHINGTON,20910,16472,1,2020 Jan 01 12:00:00 AM,N00
2024,DEPARTMENT OF HUMAN SERVICES,ADVENTIST COMM SRVS OF GREATER WASHINGTON,ADVENTIST COMM SRVS OF GREATER WASHINGTON,20910,34590.5,1,2024 Jan 01 12:00:00 AM,N00
2026,DEPARTMENT OF HUMAN SERVICES,ADVENTIST COMM SRVS OF GREATER WASHINGTON,ADVENTIST COMM SRVS OF GREATER WASHINGTON,20910,45000,1,2026 Jan 01 12:00:00 AM,N00
2022,DEPARTMENT OF EMERGENCY MANAGEMENT,AL-MADINA MASJID INC,AL-MADINA MASJID INC,21207,33139,1,2022 Jan 01 12:00:00 AM,D52
2022,MILITARY DEPARTMENT,AL-MADINA MASJID INC,AL-MADINA MASJID INC,21207,66639.09,1,2022 Jan 01 12:00:00 AM,D50
2021,DEPARTMENT OF COMMERCE,AMAZING GRACE EVANGELICAL LUTHERAN CHURCH,AMAZING GRACE EVANGELICAL LUTHERAN CHURCH,21205,10000,1,2021 Jan 01 12:00:00 AM,T00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,AMAZING GRACE EVANGELICAL LUTHERAN CHURCH,AMAZING GRACE EVANGELICAL LUTHERAN CHURCH,21205,15000,1,2021 Jan 01 12:00:00 AM,S00
2026,DEPARTMENT OF EMERGENCY MANAGEMENT,AMES UNITED METHODIST CHURCH,AMES UNITED METHODIST CHURCH,21014,36900,1,2026 Jan 01 12:00:00 AM,D52
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,"ARCADIAN FELLOWSHIP CHURCH, INC.","ARCADIAN FELLOWSHIP CHURCH, INC.",21214,29809.65,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,"ARCADIAN FELLOWSHIP CHURCH, INC.","ARCADIAN FELLOWSHIP CHURCH, INC.",21214,48590.76,1,2021 Jan 01 12:00:00 AM,614
2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,ARCHDIOCESE OF BALTIMORE,ARCHIDIOCESE OF BALTIMORE,21201,78010.73,1,2009 Jan 01 12:00:00 AM,Vendor Payment
