DAKOTAS,235,57,24%
EAST OHIO,699,250,36%
ILLINOIS GREAT RIVERS,799,82,10%
INDIANA,1068,317,30%
IOWA,740,143,19%
MICHIGAN,755,128,17%
MINNESOTA,330,24,7%
NORTHERN ILLINOIS,347,8,2%
WEST OHIO,1005,348,35%
WISCONSIN,455,44,10%
BALTIMORE-WASHINGTON,614,25,4%
EASTERN PENNSYLVANIA,401,5,1%
GREATER NEW JERSEY,530,8,2%
NEW ENGLAND,587,18,3%
NEW YORK,429,6,1%
PENINSULA-DELAWARE,410,104,25%
SUSQUEHANNA,835,148,18%
UPPER NEW YORK,848,117,14%
WEST VIRGINIA,1039,23,2%
WESTERN PENNSYLVANIA,784,297,38%
ARKANSAS,634,167,26%
CENTRAL TEXAS,277,122,44%
GREAT PLAINS,1003,232,23%
LOUISIANA,464,165,36%
MISSOURI,726,111,15%
NEW MEXICO,135,42,31%
NORTH TEXAS,282,53,19%
NORTHWEST TEXAS,200,162,81%
OKLAHOMA,485,128,26%
OKLAHOMA INDIAN MISSIONARY,79,0,0%
RIO TEXAS,350,83,24%
ALABAMA-WEST FLORIDA,576,248,43%
CENTRAL APPALACHIAN (Red Bird),22,0,0%
FLORIDA,570,192,34%
HOLSTON,862,279,32%
KENTUCKY,749,366,49%
MISSISSIPPI,1009,386,38%
NORTH ALABAMA,667,349,52%
NORTH CAROLINA,788,325,41%
NORTH GEORGIA,803,331,41%
SOUTH CAROLINA,974,113,12%
SOUTH GEORGIA,581,289,50%
TENNESSEE-WESTERN KENTUCKY,956,360,38%
VIRGINIA,1146,227,20%
WESTERN NORTH CAROLINA,1051,346,33%
ALASKA,30,1,3%
CALIFORNIA-NEVADA,343,6,2%
CALIFORNIA-PACIFIC,341,3,1%
DESERT SOUTHWEST,127,0,0%
MOUNTAIN SKY,369,48,13%
OREGON-IDAHO,174,11,6%
PACIFIC NORTHWEST,228,16,
