FIPS,State Name,County Name,2020 Population,Population Rank,Congregations,Congregations Rank,"Congregations Per 100,000 Population","Congregations Per 100,000 Pop. Rank",Adherents,Adherents Rank,Adherents as % of Population,Adherents as % of Population Rank,Largest Body by # of Congregations,# of Congregations,% of All Congregations,Largest Body by # of Adherents,# of Adherents,% of All Adherents,Diversity Index Value,Diversity Index Value Rank
01001,Alabama,Autauga County,"58,805",886,110,804,187.1,"1,825","30,249",825,51.44%,"1,273",Southern Baptist Convention,34,30.9%,Southern Baptist Convention,"17,115",56.6%,0.5943,"1,597"
01003,Alabama,Baldwin County,"231,767",296,285,236,123.0,"2,478","124,351",264,53.65%,"1,111",Southern Baptist Convention,68,23.9%,Southern Baptist Convention,"37,107",29.8%,0.6756,539
01005,Alabama,Barbour County,"25,223","1,595",93,972,368.7,524,"17,330","1,249",68.71%,409,Southern Baptist Convention,25,26.9%,Southern Baptist Convention,"4,884",28.2%,0.7306,92
01007,Alabama,Bibb County,"22,293","1,699",81,"1,134",363.3,543,"10,887","1,675",48.84%,"1,472",Southern Baptist Convention,42,51.9%,Southern Baptist Convention,"8,003",73.5%,0.5428,"2,234"
01009,Alabama,Blount County,"59,134",882,145,556,245.2,"1,317","33,895",747,57.32%,912,Southern Baptist Convention,74,51.0%,Southern Baptist Convention,"23,602",69.6%,0.5878,"1,696"
01011,Alabama,Bullock County,"10,357","2,385",43,"1,908",415.2,344,"4,894","2,368",47.25%,"1,607",Southern Baptist Convention,10,23.3%,Southern Baptist Convention,"1,629",33.3%,0.6334,"1,058"
01013,Alabama,Butler County,"19,051","1,868",89,"1,014",467.2,221,"11,645","1,603",61.13%,708,Southern Baptist Convention,36,40.4%,Southern Baptist Convention,"5,850",50.2%,0.6023,"1,492"
01015,Alabama,Calhoun County,"116,441",539,286,234,245.6,"1,311","83,651",367,71.84%,326,Southern Baptist Convention,88,30.8%,Southern Baptist Convention,"40,910",48.9%,0.5932,"1,620"
01017,Alabama,Chambers County,"34,772","1,305",120,732,345.1,623,"19,381","1,149",55.74%,996,Southern Baptist Convention,35,29.2%,Southern Baptist Convention,"8,241",42.5%,0.6793,512
01019,Alabama,Cherokee County,"24,971","1,603",89,"1,014",356.4,573,"12,551","1,527",50.26%,"1,370",Southern Baptist Convention,47,52.8%,Southern Baptist Convention,"9,771",77.9%,0.5704,"1,913"
01021,Alabama,Chilton County,"45,014","1,069",133,641,295.5,923,"33,161",758,73.67%,285,Southern Baptist Convention,59,44.4%,Southern Baptist Convention,"20,139",60.7%,0.5264,"2,387"
01023,Alabama,Choctaw County,"12,665","2,229",76,"1,210",600.1,73,"7,787","1,968",61.48%,686,Southern Baptist Convention,29,38.2%,Southern Baptist Convention,"3,855",49.5%,0.6603,749
01025,Alabama,Clarke County,"23,087","1,674",112,786,485.1,181,"17,471","1,242",75.67%,236,Southern Baptist Convention,47,42.0%,Southern Baptist Convention,"10,538",60.3%,0.6271,"1,157"
01027,Alabama,Clay County,"14,236","2,131",71,"1,292",498.7,165,"9,775","1,769",68.66%,412,Southern Baptist Convention,38,53.5%,Southern Baptist Convention,"6,704",68.6%,0.6044,"1,470"
01029,Alabama,Cleburne County,"15,056","2,081",66,"1,379",438.4,278,"11,829","1,589",78.57%,183,Southern Baptist Convention,39,59.1%,Southern Baptist Convention,"9,511",80.4%,0.4185,"2,928"
01031,Alabama,Coffee County,"53,465",942,126,691,235.7,"1,387","37,072",699,69.34%,394,Southern Baptist Convention,55,43.7%,Southern Baptist Convention,"22,017",59.4%,0.6000,"1,525"
01033,Alabama,Colbert County,"57,227",910,142,579,248.1,"1,288","34,511",733,60.31%,755,Southern Baptist Convention,42,29.6%,Southern Baptist Convention,"17,928",51.9%,0.6367,"1,021"
