fips,state,county,pct_adherents,congregations,cong_per_100k,largest_body
01001,Alabama,Autauga County,51.44,110,187.1,Southern Baptist Convention
01003,Alabama,Baldwin County,53.65,285,123.0,Southern Baptist Convention
01005,Alabama,Barbour County,68.71,93,368.7,Southern Baptist Convention
01007,Alabama,Bibb County,48.84,81,363.3,Southern Baptist Convention
01009,Alabama,Blount County,57.32,145,245.2,Southern Baptist Convention
01011,Alabama,Bullock County,47.25,43,415.2,Southern Baptist Convention
01013,Alabama,Butler County,61.13,89,467.2,Southern Baptist Convention
01015,Alabama,Calhoun County,71.84,286,245.6,Southern Baptist Convention
01017,Alabama,Chambers County,55.74,120,345.1,Southern Baptist Convention
01019,Alabama,Cherokee County,50.26,89,356.4,Southern Baptist Convention
01021,Alabama,Chilton County,73.67,133,295.5,Southern Baptist Convention
01023,Alabama,Choctaw County,61.48,76,600.1,Southern Baptist Convention
01025,Alabama,Clarke County,75.67,112,485.1,Southern Baptist Convention
01027,Alabama,Clay County,68.66,71,498.7,Southern Baptist Convention
01029,Alabama,Cleburne County,78.57,66,438.4,Southern Baptist Convention
01031,Alabama,Coffee County,69.34,126,235.7,Southern Baptist Convention
01033,Alabama,Colbert County,60.31,142,248.1,Southern Baptist Convention
01035,Alabama,Conecuh County,43.49,56,482.9,Southern Baptist Convention
01037,Alabama,Coosa County,47.18,38,365.8,Southern Baptist Convention
01039,Alabama,Covington County,57.85,118,314.1,Southern Baptist Convention
01041,Alabama,Crenshaw County,60.95,62,469.9,Southern Baptist Convention
01043,Alabama,Cullman County,62.61,224,254.9,Southern Baptist Convention
01045,Alabama,Dale County,50.35,112,227.1,Southern Baptist Convention
01047,Alabama,Dallas County,55.11,128,332.8,Southern Baptist Convention
01049,Alabama,DeKalb County,63.21,202,282.1,Southern Baptist Convention
01051,Alabama,Elmore County,46.18,146,166.0,Southern Baptist Convention
01053,Alabama,Escambia County,65.52,115,312.9,Southern Baptist Convention
01055,Alabama,Etowah County,81.06,251,242.7,Southern Baptist Convention
01057,Alabama,Fayette County,60.33,90,551.4,Southern Baptist Convention
01059,Alabama,Franklin County,62.53,101,314.5,Southern Baptist Convention
01061,Alabama,Geneva County,57.65,92,345.1,Southern Baptist Convention
01063,Alabama,Greene County,27.62,29,375.2,Southern Baptist Convention
01065,Alabama,Hale County,53.93,61,412.6,Southern Baptist Convention
01067,Alabama,Henry County,61.54,48,279.9,Southern Baptist Convention
01069,Alabama,Houston County,84.18,225,209.9,Southern Baptist Convention
