state,pct_adherents,diversity_index,largest_body
Alabama,63.6,0.6776,Southern Baptist Convention
Alaska,35.18,0.5413,Non-denominational Christian Churches
Arizona,44.07,0.6261,Catholic Church
Arkansas,57.76,0.6649,Southern Baptist Convention
California,44.83,0.6177,Catholic Church
Colorado,35.41,0.5445,Catholic Church
Connecticut,47.37,0.6334,Catholic Church
Delaware,41.36,0.6035,Catholic Church
District Of Columbia,56.45,0.7507,Catholic Church
Florida,47.08,0.6479,Catholic Church
Georgia,50.78,0.6744,Southern Baptist Convention
Hawaii,41.49,0.6097,Catholic Church
Idaho,52.74,0.6851,Church of Jesus Christ of Latter-day Saints
Illinois,50.81,0.6806,Catholic Church
Indiana,42.14,0.613,Catholic Church
Iowa,44.86,0.6371,Catholic Church
Kansas,46.03,0.6487,Catholic Church
Kentucky,49.41,0.6356,Southern Baptist Convention
Louisiana,63.32,0.7268,Catholic Church
Maine,30.79,0.4888,Catholic Church
Maryland,43.47,0.6393,Catholic Church
Massachusetts,48.64,0.6069,Catholic Church
Michigan,39.68,0.5956,Catholic Church
Minnesota,49.49,0.674,Catholic Church
Mississippi,59.43,0.6698,Southern Baptist Convention
Missouri,48.41,0.656,Catholic Church
Montana,34.84,0.5415,Catholic Church
Nebraska,49.28,0.6709,Catholic Church
Nevada,41.61,0.5897,Catholic Church
New Hampshire,27.22,0.4406,Catholic Church
New Jersey,52.17,0.6623,Catholic Church
New Mexico,52.51,0.6664,Catholic Church
New York,51.22,0.661,Catholic Church
North Carolina,52.15,0.6826,Southern Baptist Convention
North Dakota,55.02,0.6969,Catholic Church
Ohio,47.85,0.66,Catholic Church
Oklahoma,61.17,0.6627,Southern Baptist Convention
Oregon,33.18,0.5223,Catholic Church
Pennsylvania,46.89,0.6501,Catholic Church
Rhode Island,51.51,0.5969,Catholic Church
South Carolina,52.67,0.6767,Southern Baptist Convention
South Dakota,55.38,0.7051,Catholic Church
Tennessee,55.64,0.6614,Southern Baptist Convention
Texas,55.05,0.6986,Catholic Church
Utah,76.1,0.5157,Church of Jesus Christ of Latter-day Saints
Vermont,37.63,0.5588,Catholic Church
Virginia,46.0,0.6489,Catholic Church
Washington,41.33,0.6,Non-denominational Christian Churches
West Virginia,37.78,0.5661,Non-denominational Christian Churches
Wisconsin,48.04,0.6574,Catholic Church
Wyoming,40.39,0.6022,Catholic Church
