GEOID,County,Cox,Moore,Lashar,Wallace,Harding,Sefcik,GovWritein,Total,PctCox
24001,Allegany,13833,6390,279,143,267,0,17,20929,66.1
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,168548,43.8
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,128573,8.9
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,225973,35.7
24009,Calvert,18447,14236,504,142,242,0,89,33660,54.8
24011,Caroline,6727,3276,176,56,140,0,21,10396,64.7
24013,Carroll,38969,25155,1515,436,561,0,301,66937,58.2
24015,Cecil,18159,8691,472,155,311,21,35,27844,65.2
24017,Charles,15096,33633,408,283,414,0,78,49912,30.2
24019,Dorchester,6169,4341,139,69,157,0,19,10894,56.6
24021,Frederick,44307,51423,1700,555,722,0,306,99013,44.7
24023,Garrett,8195,2402,194,52,138,0,15,10996,74.5
24025,Harford,51930,40837,2033,618,914,0,301,96633,53.7
24027,Howard,33110,83690,2464,802,713,0,419,121198,27.3
24029,Kent,3718,4256,106,56,93,0,10,8239,45.1
24031,Montgomery,58701,227161,3443,2444,1677,0,768,294194,20.0
24033,Prince George's,17937,179968,1081,1693,1984,0,314,202977,8.8
24035,Queen Anne's,12840,8577,416,120,212,0,89,22254,57.7
24037,Saint Mary's,20670,14365,720,263,361,0,86,36465,56.7
24039,Somerset,3974,2254,67,46,81,0,6,6428,61.8
24041,Talbot,7497,7989,289,70,128,0,44,16017,46.8
24043,Washington,27571,17006,646,257,483,0,75,46038,59.9
24045,Wicomico,14612,12213,388,171,358,0,46,27788,52.6
24047,Worcester,13433,8550,273,121,161,0,31,22569,59.5
