student,name,address,url,denomination,service_days,non_sunday,main_language,other_language,livestream_url,staff
Madison ,Clinton Korean Baptist Church,"8701 Woodyard Road
Clinton, MD 20735",301-868-1177,American Baptist Churches ,Sunday,,English,,,
Madison ,The First New Horizon Baptist Church,"9511 Piscataway Rd
Clinton, MD 20735",(301) 856-9177,American Baptist Churches,Sunday,,English,,https://us02web.zoom.us/j/84230952078...,
Madison ,Chin Baptist Mission Church,"801 University Blvd W
Silver Spring, MD 20901",https://www.cbmcdc.com/ ,American Baptist Churches USA,Sunday,,,Hakha Chin,https://www.cbmcdc.com/videos ,https://www.cbmcdc.com/meet-out-staffs 
Madison ,Eglise Baptiste Du Calvaire,10002 Riggs Road,https://calvarymd.org/ ,American Baptist Churches USA,Sunday,,English,,https://calvarymd.org/watch/ ,https://calvarymd.org/our-pastor/ 
Madison ,"Getsemani, Iglesia Bautista","801 University Blvd W
Silver Spring, MD 20901",https://www.getsemaniusa.org/ ,American Baptist Churches USA,Sunday,,Spanish,,,
Madison ,Greenbelt Baptist Church,"101 Greenhill Road
Greenbelt, MD 20770",https://greenbeltbaptist.org/ ,American Baptist Churches USA,Sunday ,,English,,https://www.youtube.com/channel/UCpvuXOntncfUSkJL_QDr5ag ,
Madison ,Hillandale Baptist Church,"2601 Powder Mill Road
Hyattsville, MD 20783",https://www.hillandalebc.org/ ,,Sunday,,English,,https://us06web.zoom.us/j/5131998834?pwd=Tguva2RtiKLMr8bWKiNNL214CD0uHE.1&omn=83437212568#success ,https://www.hillandalebc.org/our_people 
Madison ,Renaissance Baptist Church,"3411 Spencerville Rd
Burtonsville, MD 20866",202-889-0252 ,Non-denominational,,,English,,,
Madison ,University Baptist Church/College Park ,"3515 Campus Drive
College Park, MD 20740",https://www.weareubc.org/ ,Non-denominational,Sunday,,English,,https://www.youtube.com/channel/UCjkkG2MJog07FwUKf5YQoIg ,https://www.weareubc.org/staff 
Madison ,Agape Life Ministries Inc.,"8568 Laureldale Dr, Maryland City, MD 20724",https://alm-inc.org/ ,American Baptist Churches USA,Sunday,,English,,https://subsplash.com/u/agapelifeministries-laur/media/l/yj9r536-sermons ,https://alm-inc.org/leadership 
Madison ,Alafia Baptist Church,"3623 Eastern Avenue
Mount Rainier, MD 20712",https://alafiabaptistchurchusa.org/im_new ,American Baptist Churches USA,Sunday,,English,,https://alafiabaptistchurchusa.org/sermons ,
Madison ,Allow God Deliverance Ministries,"2817 Walter Lane
District Heights, MD 20747",202-702-1457,American Baptist Churches USA,,,English,,,
Madison ,Beloved Community Church,"9007 Doris Drive
Fort Washington, MD 20744",https://www.belovedcommunitychurchmd.org/ ,American Baptist Churches USA,Sunday,,English,,,https://www.belovedcommunitychurchmd.org/ministerial-staff-2/ 
Madison ,Carmody Hills Baptist Church,"6501 Seat Pleasant Drive
Capital Heights, MD 20743",https://www.carmodyhills.org/ ,Non-denominational,Sunday,,English,,https://www.carmodyhills.org/connect.html ,https://www.carmodyhills.org/our-pastoral-staff.html 
Madison ,Chin Bethel Church,"9610 Maryland Avenue
Laurel, MD 20723",,Non-denominational,,,,Hahka Chin,,
Madison ,Church of the Great Anointing,"3710 Riviera Street Ste G
Temple Hills, MD 20748",https://cotga.yolasite.com/where-to-buy.php ,American Baptist Churches USA,Sunday,,English,,,https://cotga.yolasite.com/Meet-our-Pastors.php 
Madison ,Dayspring Community Church,"9850 Goodluck Rd
Lanham-Seabrook, MD 20706",https://dayspringthrive.org/ ,Non-denominational,Sunday,,English,,https://www.facebook.com/DayspringThrive/ ,
Madison ,Dominion Life Center (formerly Holy Comforter Baptist Church),"Mercantile Lane, Suite 208
Largo, MD 20774",571-378-3030,Non-denominational,,,English,,,
Madison ,"First Baptist Church, Highland Park","6801 Sheriff Rd
Landover, MD 20785",https://fbchighlandpark.org/ ,Non-denominational,Sunday,,English,,https://fbchighlandpark.org/media/ ,https://fbchighlandpark.org/our-pastor/?forceReload=1770507775770 
Madison ,First Baptist Church/Camp Springs,"6936 Allentown Road
Camp Springs, MD 20748",https://www.fbccs.church/ ,Non-denominational,Sunday,,English,,https://www.fbccs.church/worship-service ,
Madison ,First Baptist Church/Hyattsville,"5701 42nd Avenue
Hyattsville, MD 20781",https://www.facebook.com/firstbaptisthyattsville/ ,American Baptist Churches USA,,,English,,https://www.youtube.com/@firstbaptistchurchofhyatts2031 ,
Madison ,Forest Heights Baptist Church,"6371 Oxon Hill Road
Oxon Hill, MD 20745",https://fhbcofmd.org/ ,Non-denominational,Sunday,,English,,https://fhbcofmd.org/online-services/ ,https://fhbcofmd.org/ministries/ 
Madison ,Fort Foote Baptist Church,"8310 Fort Foote Road
Fort Washington, MD 20744",https://fortfootebc.org/ ,American Baptist Churches USA,Sunday,,English,,https://www.youtube.com/channel/UC_7J-TTx70gVLKdzWA-zJNg/videos ,https://fortfootebc.org/ministries/ 
Madison ,Fort Washington Baptist Church,"11516 Fort Washington Road
Fort Washington, MD 20744",https://www.fortwashingtonbaptist.org/ ,American Baptist Churches USA,Sunday,,English,,https://www.youtube.com/@fortwashingtonbaptistchurc7246 ,https://www.fortwashingtonbaptist.org/ministerial-staff 
Madison ,Gateway Cathedral of Praise,"4618 St Barnabas Rd
Temple Hills, MD 20748",301-728-4021,non-denominational,,,English,,,
Madison ,Glory Baptist Church,"Stonegate Elementary School
14811 Notley Road
Silver Spring, MD 20905",301-838-5775,Southern Baptist Convention,,,English,,,
Madison ,Iglesia Bautista Emanuel,"832 Wayne Avenue
Silver Spring, MD 20910",https://iglesiaemanuelsilverspring.org/       301-588-2951,American Baptist Churches USA,Sunday,,Spanish,,,
Madison ,Maple Springs Baptist Church,"4131 Belt Road
Capital Heights, MD 20743",https://msbcmd.org/ ,Christian,Sunday,,English,,https://www.youtube.com/channel/UCmaPtAGMLTEN4B0gtlQ89zg/videos ,https://msbcmd.org/who-we-are/our-leaders/
Madison ,Montgomery Hills Baptist Church,"9727 Georgia Avenue
Silver Spring, MD 20910",https://www.mhbc.us/ ,"American Baptist Churches, Southern Baptist Convention and the Progressive National Baptist Convention",Sunday,,English,,https://www.youtube.com/@montgomeryhillsbaptistchur8487 ,https://www.mhbc.us/staff.html 
Madison ,Mt. Ephraim Baptist Church,"610 Largo Rd
Upper Marlboro, MD 20774",https://dev.mountephraim.org/services-and-location/ ,American Baptist Churches USA,Sunday,,English,,,https://dev.mountephraim.org/pastor-gilmore-jr/ 
Madison ,Pavilion of God Baptist Church,"3701 Quincy Street
North Brentwood, MD 20722",202-365-2842,Non-denominational,,,English,,,
Madison ,Ritchie Baptist Church,"1706 Sansbury Rd
Largo, MD 20774",https://www.ritchiebaptistchurch.org/ ,Non-denominational,Sunday,,English,,1-301-715-8592 Meeting ID: 861 4512 3446,https://www.ritchiebaptistchurch.org/pastor-s-bio 
Madison ,Rivers of Joy Bible Fellowship,"2200 County Rd
District Heights, MD 20747",301-499-3117,American Baptist Churches USA,,,English,,,
Madison ,Salem Gospel Ministries,"9727 Georgia Ave
Silver Spring, MD 20910",https://www.salemgospelministries.org/ ,Baptist Convention of Maryland,Sunday,,English,,,
Madison ,"Second Baptist Church, SW","5501 Silver Hill Rd
District Heights, MD 20747",https://www.sbcsw.org/,Non-denominational,Sunday,,English,,https://www.sbcsw.org/livestream,https://www.sbcsw.org/pastor-baxter-iii-biography 
Madison ,Solid Rock Baptist Church,"4725 Slver Hill Rd
Suitland, MD 20746",301-420-4212,American Baptist Churches USA,Sunday,,English,,,
Madison ,Spirit of Peace Baptist Church,"4311 R Street
Capital Heights, MD 20743",301-772-1600,Non-denominational,Sunday,,English,,,
Madison ,Spirit of the LIving God Baptist Church,"5918 Allentown Way, Temple Hills, Maryland 20748, United States",https://sotlgbc.com/ ,Non-denominational,Sunday,,English,,https://www.youtube.com/channel/UC1tGeBDo32yh-CssXpiBnyg/featured?view_as=subscriber ,https://sotlgbc.com/about-us
