committee_name,count,party
ACTBLUE,1609,D
WINRED,337,R
HARRIS FOR PRESIDENT,91,D
BIDEN FOR PRESIDENT,83,D
HILLARY FOR AMERICA,70,D
ALSOBROOKS FOR SENATE,50,D
DCCC,48,D
"DONALD J. TRUMP FOR PRESIDENT, INC.",39,R
DSCC,39,D
HARRIS VICTORY FUND,36,D
WARNOCK FOR GEORGIA,36,D
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,26,R
REPUBLICAN NATIONAL COMMITTEE,25,R
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,22,D
"NEVER SURRENDER, INC.",22,R
"TRUMP NATIONAL COMMITTEE JFC, INC.",14,R
BIDEN VICTORY FUND,12,D
MOVEON.ORG POLITICAL ACTION,12,D
HILLARY VICTORY FUND,11,D
NRSC,11,R
SUZAN JOHNSON COOK FOR CONGRESS,11,D
"TERENCE GRAY FOR CONGRESS, INC.",11,D
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,10,D
EMILY'S LIST,10,D
JAMIE RASKIN FOR CONGRESS,9,D
"WARREN FOR PRESIDENT, INC.",9,D
ALSOBROOKS VICTORY FUND,8,D
MAKE AMERICA GREAT AGAIN PAC,8,R
NRCC,8,R
SAVE AMERICA,8,R
WIN THE ERA PAC,8,D
DEMOCRATIC ACTION,7,D
DONNA EDWARDS FOR SENATE,7,D
PARROTT FOR CONGRESS,7,R
"AMY MCGRATH FOR SENATE, INC.",6,D
FRIENDS OF SHERROD BROWN,6,D
JAIME HARRISON FOR US SENATE,6,D
VAN HOLLEN FOR SENATE,6,D
BERNIE 2016,5,D
CRUZ FOR PRESIDENT,5,R
IT STARTS TODAY,5,D
JON OSSOFF FOR SENATE,5,D
NIKKI HALEY FOR PRESIDENT INC.,5,R
SENATE CONSERVATIVES FUND,5,R
SWING LEFT,5,D
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,5,R
CHERI BEASLEY FOR NORTH CAROLINA,4,D
DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,4,D
EMILYS LIST,4,D
FETTERMAN FOR PA,4,D
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,4,D
PROGRESSIVE TURNOUT PROJECT,4,D
SCALISE FOR CONGRESS,4,R
SMP,4,D
THE LINCOLN PROJECT,4,D
TIM RYAN FOR OHIO,4,D
VAL DEMINGS FOR U.S. SENATE,4,D
WARNOCK VICTORY FUND,4,D
AUDREY DENNEY FOR CONGRESS,3,D
CARSON AMERICA,3,R
CHC BOLD PAC,3,D
COLIN ALLRED FOR SENATE,3,D
CORY BOOKER FOR SENATE,3,D
DITCH FUND,3,D
DOUG JONES FOR SENATE COMMITTEE,3,D
ELECT DEMOCRATIC WOMEN,3,D
END CITIZENS UNITED,3,D
FAIR FIGHT,3,D
GEORGIANS FOR KELLY LOEFFLER,3,R
HEATHER MIZEUR FOR CONGRESS,3,D
JEFFRIES FOR CONGRESS,3,D
JESSE COLVIN FOR CONGRESS,3,D
KEVIN JOHNSON FOR CONGRESS,3,R
KWEISI MFUME FOR CONGRESS,3,D
LEAGUE OF CONSERVATION VOTERS ACTION FUND,3,D
MOVEMENT VOTER PAC,3,D
NATIONAL VICTORY ACTION FUND,3,R
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),3,D
TIM SCOTT FOR SENATE,3,R
WILL JAWANDO FOR CONGRESS,3,D
314 ACTION FUND,2,D
ABBY FOR IOWA,2,D
AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,2,R
ALLISON FOR CONGRESS,2,D
AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2,D
BERNIE 2020,2,D
BLACK CHURCH PAC,2,D
CORY 2020,2,D
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,2,D
"DEMOCRATIC VICTORY PAC, INC.",2,D
DONNA EDWARDS 4 CONGRESS,2,D
DSI,2,D
ELECT DIVERSE DEMOCRATS PAC,2,D
GLENN IVEY FOR CONGRESS,2,D
HILL HARPER FOR MICHIGAN,2,D
HOGAN FOR MARYLAND INC.,2,R
KAMALA HARRIS FOR THE PEOPLE,2,D
KASICH FOR AMERICA INC,2,R
MANDELA BARNES FOR WISCONSIN,2,D
MARCO RUBIO FOR PRESIDENT,2,R
MARIANNE WILLIAMSON FOR PRESIDENT,2,D
MARK KELLY FOR SENATE,2,D
MARYLAND REPUBLICAN STATE CENTRAL COMMITTEE,2,R
MAXWELL ALEJANDRO FROST FOR CONGRESS,2,D
MCCONNELL SENATE COMMITTEE,2,R
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,2,D
MIKE ROGERS FOR CONGRESS,2,R
PAC TO THE FUTURE,2,D
RAND PAUL FOR US SENATE,2,R
"RYAN FOR CONGRESS, INC.",2,R
SARA GIDEON FOR MAINE,2,D
STOP REPUBLICANS,2,D
THE COMMITTEE TO DEFEND THE PRESIDENT,2,R
WILL JAWANDO FOR MARYLAND,2,D
AMERICA VOTES ACTION FUND,1,D
AMERICAN ETHIOPIAN PUBLIC AFFAIRS COMMITTEE,1,D
AMERICAN POSSIBILITIES PAC,1,D
AMY MCGRATH FOR CONGRESS,1,D
ANDY HARRIS FOR CONGRESS,1,R
ANDY KIM FOR NEW JERSEY,1,D
BARBARA LEE FOR US SENATE,1,D
BERGMANN FOR CONGRESS CAMPAIGN,1,R
BLUE VICTORY FUND PAC,1,D
BOB CASEY FOR SENATE INC,1,D
BOOKER FOR KENTUCKY,1,D
"BOOKER FOR THE PEOPLE, LTD",1,D
BOWMAN FOR CONGRESS,1,D
BULLOCK FOR PRESIDENT,1,D
CAL FOR NC,1,D
CAP-PAC SEPARATE SEGREGATED FUND OF THE NATIONAL COMMUNITY ACTION FOUNDATION INC,1,R
CARAVEO FOR CONGRESS,1,D
CATHERINE CORTEZ MASTO FOR SENATE,1,D
CATHERINE CORTEZ-MASTO FOR SENATE,1,D
CHRIS DELUZIO FOR CONGRESS,1,D
CITIZENS FOR TURNER,1,R
COLIN BYRD FOR CONGRESS,1,D
COLLINS FOR SENATOR,1,R
COLOROFCHANGE PAC,1,D
COMMITTEE TO ELECT PAM KEITH,1,D
COMMON POWER,1,D
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,1,D
CONNOLLY FOR CONGRESS,1,D
CONOLE FOR CONGRESS,1,D
CORI BUSH FOR CONGRESS,1,D
COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND,1,D
DAN COX FOR CONGRESS,1,R
"DAN COX FOR CONGRESS, INC.",1,R
"DEFEND FREEDOM, INC.",1,R
DEM TURNOUT 2024,1,D
DEMOCRACY FOR AMERICA,1,D
DEMOCRATIC HOPE FUND,1,D
"DEMOCRATIC POWER, INC.",1,D
DEMOCRATS UNITED,1,D
DLCC PAC,1,D
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",1,R
DR. CAMERON WEBB FOR CONGRESS,1,D
EDF ACTION VOTES,1,D
ELISE FOR CONGRESS,1,R
EMILIA SYKES FOR CONGRESS,1,D
EQUALITY PAC,1,D
ERIC SORENSEN FOR ILLINOIS,1,D
EVERYDISTRICT,1,D
FLIP THE SENATE PAC,1,D
FOR THE MANY ACTION,1,D
FORWARD BLUE,1,D
FRIENDS OF ANDREW YANG,1,D
FRIENDS OF MARK WARNER,1,D
FRIENDS OF RAJA FOR CONGRESS,1,D
GEORGIA FEDERAL ELECTIONS COMMITTEE,1,D
GEORGIA SENATE VICTORY FUND,1,D
GIFFORDS PAC,1,D
GRAYPAC,1,D
HICKENLOOPER FOR COLORADO,1,D
HOUSE MAJORITY PAC,1,D
HOYER FOR CONGRESS,1,D
HUCK PAC,1,R
IRETON FOR CONGRESS,1,D
JACKSON-US SENATE,1,D
"JEB 2016, INC.",1,R
JEFF JACKSON FOR CONGRESS,1,D
"JOHN JAMES FOR CONGRESS, INC.",1,R
JOHN KENNEDY FOR US,1,R
JOHNNY O FOR CONGRESS,1,D
JON HOADLEY FOR CONGRESS,1,D
JONATHAN JACKSON FOR CONGRESS,1,D
JONI FOR IOWA,1,R
JOSELINE PENA-MELNYK FOR CONGRESS,1,D
JOSH RILEY FOR CONGRESS,1,D
JSTREETPAC,1,D
KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,1,D
KEVIN MCCARTHY FOR CONGRESS,1,R
LAW ENFORCEMENT FOR A SAFER AMERICA PAC,1,R
LET AMERICA VOTE PAC,1,D
LEVELL FOR A BETTER AMERICA INC,1,R
LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,1,D
MAGGIE FOR NH,1,D
MAKE DC LISTEN,1,R
MARCO RUBIO FOR SENATE 2016,1,R
MARK FOR MARYLAND,1,D
MATT ROSENDALE FOR MONTANA,1,R
MAYA R. CUMMINGS FOR CONGRESS,1,D
MCBRIDE FOR DELAWARE INC.,1,D
MCCASKILL FOR MISSOURI,1,D
MCCORKLE FOR COLORADO,1,D
MCCREADY FOR CONGRESS,1,D
MCKAYLA WILKES FOR CONGRESS,1,D
MICHAEL BLAKE FOR CONGRESS,1,D
MONTANANS FOR BULLOCK,1,D
MONTANANS FOR TESTER,1,D
MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,1,D
NANCY PELOSI FOR CONGRESS,1,D
NDTC,1,D
NEMBHARD FOR CONGRESS,1,D
NEW CONGRESS FUND,1,D
NEW NATION RISING,1,D
OBAMA FOR AMERICA,1,D
OUR BLACK PARTY,1,D
PAF,1,D
PATTY JUDGE FOR IOWA,1,D
PEOPLE POWERED ACTION,1,D
PERDUE FOR SENATE,1,R
PERKINS FOR LOUISIANA,1,D
POLICE COALITION OF AMERICA PAC,1,R
POLIQUIN FOR CONGRESS,1,R
PROGRESSIVE TAKEOVER,1,D
PULLEN FOR US,1,D
RENACCI FOR US SENATE,1,R
RON DESANTIS FOR FLORIDA,1,R
SAAFIR FOR CONGRESS,1,D
SANFORD BISHOP FOR CONGRESS,1,D
SAYLES FOR US,1,D
SCHIFF FOR CONGRESS,1,D
SCHIFF FOR SENATE,1,D
SHAHEEN FOR SENATE,1,D
"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",1,D
SOCIALLY RESPONSIBLE GOVERNMENT,1,D
SPANBERGER FOR CONGRESS,1,D
STABENOW FOR US SENATE,1,D
STEVE IRWIN FOR CONGRESS,1,D
SUOZZI FOR CONGRESS,1,D
TAMMY FOR ILLINOIS,1,D
"TEAM GRAHAM, INC.",1,R
TERRI HILL FOR CONGRESS,1,D
THE 2016 COMMITTEE,1,D
THERESA GREENFIELD FOR IOWA,1,D
TINA FORTE FOR CONGRESS,1,R
TOM ROYALS FOR CONGRESS,1,R
"TRUMP 47 COMMITTEE, INC.",1,R
TULSI ALOHA,1,R
UNITED WITH DELIA FOR CONGRESS,1,D
VOTE SAVE AMERICA,1,R
"WARREN DEMOCRATS, INC.",1,D
WILEY NICKEL FOR CONGRESS,1,D
WILL ROLLINS FOR CONGRESS,1,D
YURIPZY MORGAN FOR CONGRESS,1,R
