contributor_city,total_amount,total_contribs
BALTIMORE,129293.71000000008,10659
SILVER SPRING,84241.94000000003,3698
UPPER MARLBORO,55530.68000000001,540
BOWIE,43444.63,1131
SEVERNA PARK,35099.990000000005,601
ELLICOTT CITY,35030.71,1115
ROCKVILLE,31960.650000000034,785
FORT WASHINGTON,31015.06,623
TOWSON,24961.93,1401
LAUREL,24704.539999999997,1087
ANNAPOLIS,21294.959999999995,679
FREDERICK,20329.939999999995,835
UNIVERSITY PARK,17856.5,103
CLEAR SPRING,17400,12
BETHESDA,16829.840000000004,770
COLUMBIA,14793.879999999997,718
OWINGS MILLS,12405,194
POTOMAC,11751.97,81
TAKOMA PARK,11422.219999999978,388
LOTHIAN,10250,4
MITCHELLVILLE,9927.200000000004,803
HYATTSVILLE,9808.460000000001,650
HAGERSTOWN,9767.379999999996,410
WALDORF,9458.699999999997,168
KENSINGTON,8983.449999999997,149
RANDALLSTOWN,8579.98,238
PIKESVILLE,8509.250000000002,334
BOONSBORO,8477.5,217
ESSEX,7377.619999999998,155
CLINTON,7327.379999999999,170
CATONSVILLE,7262.04,371
GWYNN OAK,7036.6500000000005,171
REISTERSTOWN,6807.55,173
MARRIOTTSVILLE,6705.8099999999995,249
LA PLATA,6468.700000000001,334
ELKTON,6351.41,274
PORT REPUBLIC,6250.589999999997,333
WESTMINSTER,6165,122
GERMANTOWN,5874.669999999998,322
CROWNSVILLE,5657.8099999999995,214
PARKVILLE,5632.4400000000005,401
CUMBERLAND,5439.61,410
LUTHERVILLE TIMONIUM,5254.6,68
BELTSVILLE,5206.87,145
GREENBELT,5107.28,120
CHEVY CHASE,4747,29
FINKSBURG,4711.82,78
LANHAM,4523.209999999999,494
TEMPLE HILLS,4511.87,208
COLLEGE PARK,4316.72,244
GAITHERSBURG,4228.950000000001,219
MIDDLE RIVER,3963.05,247
MONTGOMERY VILLAGE,3961.27,51
GLENN DALE,3890.93,185
PASADENA,3461.06,77
ODENTON,3313.5,44
NOTTINGHAM,3245.6,97
BEL AIR,3125.29,61
SALISBURY,3103.8199999999997,158
NEW MARKET,3066.5,49
DARLINGTON,2941,92
NORTH POTOMAC,2827.8799999999997,47
BURTONSVILLE,2794.1099999999997,174
PARSONSBURG,2786.9700000000003,71
FORT WASHINGTOM,2751.980000000001,161
DAVIDSONVILLE,2750,6
ROSEDALE,2727.91,69
SYKESVILLE,2658.94,68
NEWBURG,2588,59
CHESTERTOWN,2511.5,132
THURMONT,2489.67,154
BOOONSBORO,2300,23
ABINGDON,2269.33,78
MONKTON,2257.21,20
FAULKNER,2238.1699999999996,146
MOUNT AIRY,2101.94,80
SEVERN,2058.2,61
MORGANZA,2000,2
CAPITOL HEIGHTS,1838,32
SUNDERLAND,1803.5,22
GALESVILLE,1792,33
OLNEY,1772,24
BRANDYWINE,1753.5,36
EAST RIVERDALE,1727,230
MONROVIA,1695,80
EDGEWATER,1672.16,49
MILLERSVILLE,1648,28
DELMAR,1639.2400000000002,63
GAMBRILLS,1627,32
ABERDEEN,1625.44,88
LEXINGTON PARK,1621.78,57
PARKTON,1601.37,100
PERRY HALL,1557.15,62
