Name,"StatisticalYear","Full/ActiveMembers","OtherMembers",Children,Total,"TotalSubtractions(Absentees)","StandardDenominationalAdherents"
Assemblies of God,2021,"1,683,579","1,248,887",-,"2,932,466",-,"2,932,466"
Anglican Church of Canada,2019,"333,894",-,-,"333,894",-,"333,894"
Baha'I Faith in the United States,2019,"176,710",-,-,"176,710",,"176,710"
Christian Church (Disciples of Christ),2018,"382,248",-,-,"382,248",-,"382,248"
The Church of Jesus Christ of Latter-day Saints,2018,"6,124,477","557,352",-,"6,681,829",-,"6,681,829"
Church of the Brethren,2019,"98,680",-,-,"98,680",-,"98,680"
Church of the Nazarene,2021,"575,989","4,775",-,"580,764","146,984","433,780"
Churches of Christ,2021,"1,112,935",-,"311,983","1,424,918",-,"1,424,918"
The Episcopal Church,2020,"1,291,640","444,642",-,"1,736,282",-,"1,736,282"
Evangelical Lutheran Church in America,2020,"2,458,496","684,281",-,"3,142,777",-,"3,142,777"
The Lutheran Church--Missouri Synod,2021,"1,399,363","371,292",-,"1,770,655",-,"1,770,655"
Presbyterian Church (U.S.A),2021,"1,193,770",-,-,"1,193,770",-,"1,193,770"
Roman Catholic Church,2020,"67,659,183",-,-,"67,659,183",-,"67,659,183"
Seventh-day Adventist Church,2021,"1,187,821",-,-,"1,187,821",-,"1,187,821"
Southern Baptist Convention,2021,"13,680,493",-,-,"13,680,493",-,"13,680,493"
The United Church of Canada,2020,"365,838","77,722",-,"443,560","83,820","359,740"
United Church of Christ,2020,"773,539",-,-,"773,539",-,"773,539"
The United Methodist Church,2018,"6,671,816","1,445,847","525,907","8,643,570",-,"8,643,570"
Total,,"107,170,471","4,834,798","837,890","112,843,159","230,804","112,612,355"
